ID,Title,Genre,Tags,Synopsis,Rank,Popularity,Score,Episodes,Duration,Watchers,Start_date,End_date,Day_aired,Main Role
68,Hot Stove League ,"Drama, Sports, Melodrama","Hardworking Female Lead, Baseball, Hardworking Male Lead, Teamwork, Successful Male Lead, Tough Male Lead, Corruption, Calm Male Lead, Competition, Smart Male Lead ","About the preparation period of a major league baseball team. The drama focuses on a loser team that prepares for an extraordinary season upon the arrival of their new general manager, and each episode will focus on a problem they have as they prepare to become a stronger team.
Se Young is the youngest head of the management team of Dreams, a cellar-dwelling baseball team. She's highly recognized for her perseverance and intense passion for the team. One day, Seung Su is appointed as a general manager. Although he's been working in the sports field, the teams he led to the championship were unpopular, and some of them were even disbanded after winning the league due to the financial difficulties of their parent companies. Would this unlucky new general manager be able to steer Dreams to the championship with passionate Se Young?
Han Jae Hee, an energetic man, who is the grandson of a furniture maker. Kim Young Chae, who is a softball player turned sports announcer. Yoo Min Ho, a pitcher, who is crazy about baseball.",224,526,8.7,16,62,"20,925",12/13/2019,2/14/2020,"Friday, Saturday","Namkoong Min, Cho Byeong Kyu, Park Eun Bin, Oh Jung Se"
69,Strong Woman Do Bong Soon ,"Action, Comedy, Romance, Supernatural","Strong Female Lead, Female Lead Action Scenes, Superhuman Strength, Love Triangle, Nice Male Lead, Rich Man/Poor Woman, Father-Daughter Relationship, Gang, Boss-Employee Relationship, Rich Male Lead","Do Bong Soon is a petite, unemployed woman who is honest and kind. She appears little and sweet on the outside, but she is in fact very, very strong. For generations in her family, the women have been gifted Herculean strength to use for the greater good. If abused, however, their power will be taken away.
Whilst standing up for herself after gang members bully her, she finds herself approached by Ahn Min Hyuk, the handsome and somewhat childish CEO of Ainsoft, a gaming company. Ahn Min Hyuk, who holds a great distrust towards the police, witnessed the whole exchange of Bong Soon's superhuman strength, and now wants to employ her as a bodyguard after being threatened by an unknown enemy. Min Hyuk falls in love with super-strong Bong Soon at first sight, but there's a catch. Bong Soon has eyes for someone else; a police officer and childhood friend, In Guk Doo, whom she has known since high school.
When chaos ensues after a series of kidnappings in Do Bong Soon's hometown of Dobong-dong, Dobong-gu, Bong Soon must decide whether to use her strength and stand up to evil, or play it safe and keep her powers hidden from the world. Combined with the love triangle she faces between In Guk Doo and Ahn Min Hyuk, as well as having to keep Min Hyuk safe, Bong Soon's life is thrown into turmoil. Can she use her strength for the greater good, or will it prove in the end to be too much?",225,2,8.7,16,67,"179,271",2/24/2017,4/15/2017,"Friday, Saturday","Park Bo Young, Kim Ji Soo, Park Hyung Sik"
70,Dr. Romantic ,"Romance, Drama, Medical","Strong Male Lead, Smart Male Lead, Hardworking Female Lead, Hardworking Male Lead, Character Development, Slow Burn Romance, Smart Female Lead, Boss-Employee Relationship, Trauma, Male Chases Female First","Kim Sa Bu was once a famous surgeon at the peak of his career at a major hospital. But he suddenly gives it all up one day to live in seclusion and work as a neighborhood doctor in a small town. He now goes by “Teacher Kim” and refers to himself as the “Romantic Doctor”. Meanwhile, Kang Dong Joo became a doctor to make something of himself after growing up poor, and he seeks out VIP patients to achieve the success that he desperately wants. Yoon Seo Jung is a passionate young surgeon who is haunted by a mistake from her past and tries to get over it. When Dong Joo and Seo Jung meet the quirky Teacher Kim, their lives and careers will never be the same again.",230,127,8.7,20,60,"54,423",11/7/2016,1/16/2017,"Monday, Tuesday","Han Seok Kyu, Seo Hyun Jin, Yoo Yeon Seok"
71,Strangers from Hell,"Thriller, Horror, Psychological, Drama","Adapted From A Webtoon, Murder, Gaslighting, Mental Torment, Mental Illness, Trauma, Torture, Animal Abuse, Hot-Tempered Male Lead, Animal Death","Yoon Jong Woo is a young guy in his 20s who moves from the countryside to Seoul after his college friend, Jae Ho, offers him a job. While looking for a place to live, he stumbles upon Eden Gosiwon, a cheap hostel that shares the kitchen and bathroom with other residents. He is not thrilled about the quality of the place or the other abnormal residents, such as his next-door neighbor Seo Moon Jo, a charismatic dentist. Nevertheless, Jong Woo decides to put up with it for 6 months until he saves enough money to move out. However, mysterious events start occurring in the apartment, causing Jong Woo to begin fearing the apartment's residents.",236,126,8.7,10,60,"54,461",8/31/2019,10/6/2019,"Saturday, Sunday","Yim Si Wan, Lee Dong Wook"
72,Love to Hate You ,"Comedy, Law, Romance","Badass Female Lead, Enemies To Lovers, Social Issues, Actor Male Lead, Gender Discrimination, Famous Lead/Common Lead, Strong Female Lead, Skilled Fighter, Contract Relationship, Famous Male Lead","Yeo Mi Ran is a rookie attorney at Gilmu Law Firm, which works primarily with the entertainment industry. She is not interested in having a romantic relationship and she hates to lose to a man in anything.
Nam Kang Ho is a top actor in the entertainment industry. He is the most popular actor in South Korea due to his handsome appearance, intelligence, and kindness. He is sought after to work in romantic movies, but he doesn't actually trust women.
Yeo Mi Ran and Nam Kang Ho, who both don’t believe in love, fall into a love battle.",241,471,8.7,10,52,"22,953",2/10/2023,,Friday,"Kim Ok Bin, Kim Ji Hoon, Yoo Teo, Go Won Hee"
73,Live ,"Comedy, Romance, Life, Drama","Teamwork, Violence, Strong Female Lead, Police Officer Female Lead, Police Officer Male Lead, Smart Female Lead, Male Chases Female First, Police Department Setting, Nice Male Lead, Investigation","The drama revolves around the incidents that occur in the police force and the joy, sorrow, and pain that police officers experience as they try to protect justice.
Yeom Sang Soo, is determined to live in the mainstream of society by becoming a public official. However, he becomes an icon of misfortune with every case that he handles and runs into conflict with a superior. Han Jung Oh is Yeom Sang Soo’s co-worker and a female officer that works to fight male chauvinism. The two characters with high fighting spirit join efforts to solve incidents.",246,544,8.7,18,75,"20,652",3/10/2018,5/6/2018,"Saturday, Sunday","Lee Kwang Soo, Bae Sung Woo, Jung Yu Mi, Bae Jong Ok"
74,The King of Pigs ,"Thriller, Mystery, Drama","School Bullying, Detective Male Lead, School Violence, Flashback To Past, Revenge, Murder, Detective Female Lead, Childhood Trauma, Child Abuse, Mental Illness ","Two friends meet up and recall their experiences as victims of school bullying when they receive a message from a friend from 20 years ago and mysterious serial killings begin to occur.
Kyung Min lives with the trauma of the school violence he experienced twenty years ago and an unexpected case causes his suppressed emotions to reappear. Meanwhile, Detective Jong Suk receives a mysterious message sent from a friend from 20 years ago which reminds him of the school violence that took place back then. Chasing the mysterious message, he tries to put a stop to the murders.
Through these characters with tragic fates, the drama touches on the origin of school violence and the bullying that pervades modern society.",256,1463,8.6,12,55,"8,203",3/18/2022,4/22/2022,Friday,"Kim Dong Wook, Chae Jung An, Kim Sung Gyu"
75,Jewel in the Palace ,"Food, Historical, Romance, Medical","Strong Female Lead, Cooking, Royal Rules And Etiquette, Joseon Dynasty, Doctor Female Lead, Orphan Female Lead, Smart Female Lead, Nice Male Lead, Slow Burn Romance, Queen Dowager Supporting Character","About 500 years ago during the time of Chosun Dynasty, Korea boasted a rigidly hierarchical and male dominated social structure. Based on a true story about a legendary girl, Jang Geum, who became the first woman to be the supreme royal physician of her times. Despite her poor condition as a low class girl in the male dominated society, Jang Geum overcame a series of social discrimination and landed herself as a royal cook, later becoming the royal physician, then ultimately the physician in charge of the king. She was even given by the king the title ""The Great Jang Geum."" The story of her checkered life on her success and breakdown as well as her love story beautifully unfold.",260,724,8.6,54,65,"16,545",9/15/2003,3/23/2004,"Monday, Tuesday","Lee Young Ae, Hong Ri Na, Ji Jin Hee, Im Ho"
76,Tunnel ,"Thriller, Mystery, Sci-Fi, Fantasy","Time Travel, Murder, Bromance, Hardworking Male Lead, Hidden Identity, Strong Female Lead, Character Development, Slight Romance, Death, Teamwork","In 1986, Park Gwang Ho works as an excellent and enthusiastic detective. His life changes when he’s pursuing leads in a serial homicide case and then passes through a time portal, which transports him to present day Seoul. He meets a new partner Kim Sun Jae, an elite detective who happens to be a bit eccentric, but is one highly skilled investigator. The detective duo will also find help in psychology professor, Shin Jae Yi.",269,231,8.6,16,64,"37,763",3/25/2017,5/21/2017,"Saturday, Sunday","Choi Jin Hyuk, Lee Yoo Young, Yoon Hyun Min"
77,My Liberation Notes ,"Romance, Life, Drama, Melodrama","Slow Burn Story, Introverted Female Lead, Loneliness, Alcoholic Male Lead, Slow Burn Romance, Alcoholism, Multiple Mains, Character Development, Inner Monologue, Multiple Couples","Set in Sanpo Village where more people leave than remain, the three Yeom siblings, Chang Hee, Mi Jung, and Ki Jung, wish to escape from a life rife with uncertainty.
A mysterious man, Mr. Goo, moves into their neighbourhood. He is a drunkard with the look of someone with many burdens and secrets. His cautious personality and preference for keeping to himself make him the subject of gossip. Mi Jung, the youngest and most timid Yeom sibling, decides to approach him.",280,336,8.6,16,67,"29,182",4/9/2022,5/29/2022,"Saturday, Sunday","Lee Min Ki, Son Seok Koo, Kim Ji Won, Lee El"
78,Descendants of the Sun ,"Action, Comedy, Romance, Melodrama","Hardworking Female Lead, Multiple Couples, Bromance, Hardworking Male Lead, Gun Violence, Calm Male Lead, Filmed Abroad, Friendship, Strong Female Lead, Propaganda","A love story that develops between a surgeon and a special forces officer.
Kang Mo Yeon is a pretty and assertive woman who works as a cardiothoracic surgeon at Haesung Hospital. She isn't afraid to admit her mistakes and believes that capability overrides whatever connections you have. However, she is soon faced with the reality that she cannot advance with just capability. Her life is forever changed when she encounters Yoo Shi Jin, the Captain and team leader of the Alpha Team who cares more about protecting anybody in need of help as well as his country, even if it goes against the order of his superiors. This drama will tell of how they both bond together in a time of war and overcome the odds against them.",286,4,8.6,16,60,"162,815",2/24/2016,4/14/2016,"Wednesday, Thursday","Song Joong Ki, Jin Goo, Song Hye Kyo, Kim Ji Won"
79,Hotel del Luna ,"Horror, Comedy, Romance, Fantasy","Boss-Employee Relationship, Strong Female Lead, Ghost, Smart Female Lead, Supernatural, Ghost-seeing Male Lead, Death, Rich Female Lead, Nice Male Lead, Flashback To Past","Nestled deep in the heart of Seoul’s thriving downtown sits a curious hotel, the like of which no one has ever seen before. Old beyond measure, the building has stood for millennia, an ever-present testament to the fact that things are not always what they seem. Running this hotel is Jang Man Wol, a greedy, suspicious soul who has spent the past thousand years acting as the establishment’s CEO.
Bound to the hotel by a deity who keeps her there to save her from going berserk and self-destruction with rage, hatred and thirst for revenge. Her only hope of escape is if she can let go of her resentment and hatred and find love. Trapped in her resentment for a betrayal, Man Wol is doomed to spend all of eternity running this odd establishment, catering to the needs of the most peculiar clientele.
Things take an interesting turn when Goo Chan Sung shows up. Once the youngest assistant manager ever to work at a multinational hotel corporation, Chan Sung finds himself forced to manage the Hotel del Luna because of a deal his father made with Man Wol years ago. Excellent with managing money, he starts to put Jang's excessive spending and disastrous financial situation in order; that may be exactly what this odd establishment and its cursed CEO needs.",287,13,8.6,16,80,"134,694",7/13/2019,9/1/2019,"Saturday, Sunday","IU, Yeo Jin Goo"
80,Missing: The Other Side ,"Thriller, Mystery, Supernatural","Ghost-seeing Male Lead, Spirit, Missing Person, Bromance, Social Justice, Righteous Male Lead, Death, Ghost, Childhood Friends' Relationship, Village Setting","A village holds the spirits of missing, deceased people. A search to find the missing bodies and discover the truth behind their disappearance occurs.
Kim Wook is a smooth talker and a good-looking man. He commits fraud to make a living. One day, he happens to arrive at Duon Village, where the missing dead gather. He soon faces numerous mysteries.
Jang Pan Seok is a mysterious figure. He secretly looks for missing people. He is the connection between Duon Village and the outside world. He becomes a fraud partner with Kim Wook, and he solves cases.
Lee Jong Ah is Kim Wook's supporter. She is a white hat hacker out to gain social justice. She works as a low-ranking public officer at a community center as her day job.
Shin Joon Ho is an elite detective. One month prior to his wedding, his fiancée Choi Yeo Na disappears. To find her, he applies for the missing person squad.",292,828,8.6,12,70,"14,502",8/29/2020,10/11/2020,"Saturday, Sunday","Go Soo, Ahn So Hee, Seo Eun Soo, Heo Joon Ho, Ha Joon, Song Geon Hee"
81,Law School ,"Mystery, Law, Crime, Drama","Smart Male Lead, Student, University, Death, Hardworking Female Lead, Rich Male Lead, Nice Male Lead, Slow Burn Romance, Poor Female Lead, Uncle-Nephew Relationship ","When a grim incident occurs at their prestigious school, justice through law is put to the test by a tough law professor and his ambitious students.
Yang Jong Hoon is a criminal law professor and a former elite prosecutor, whose harsh words make him the professor to steer clear of. At the same time, there’s something compelling about his strict teaching methods and his refusal to accept less than the best from his future juniors in the legal profession.
Han Joon Hwi, a first-year law student, is at the top of his class. He’s a natural leader whose good looks and easy charm make him the perfect man - on paper. However, there’s an unexpected side to him that remains well-hidden.
Kang Sol (A) is another first-year law student who overcame childhood poverty and hardships by gaining special admission to the school. She walks a path of thorns due to her constant sense of deprivation and shame amidst the wealth and talent that surrounds her. Eventually, her passion will enlighten her on what it truly takes to be a good lawyer.
Kim Eun Sook is a civil law professor who was once the head of the law school’s free legal clinic. Her natural air of authority and freewheeling personality earned her the reputation for being a master in court. Known for being a highly relatable professor, she is the sole colleague Yang Jong Hoon dares to confide in.",297,200,8.6,16,65,"40,828",4/14/2021,6/9/2021,"Wednesday, Thursday","Kim Myung Min, Ryu Hye Young, Kim Bum, Lee Jung Eun"
82,The First Responders ,"Action, Thriller, Mystery, Drama","Teamwork, Firefighter Male Lead, Investigation, Suspense, Paramedic Female Lead, Detective Fiction, Detective Male Lead, Slight Romance","Follow the joint operations of a police force and a fire department, who together will tell a thrilling story.
Fierce detective Jin Ho Gae is all about catching low-lifes. He solves cases with his excellent ability to grasp crime scenes, read a criminal's mind, and has a strong will to win. While the fearless firefighter Bong Do Jin, who seems cold on the outside, is nice to those around him, and he takes good care of victims. He rushes to fire sites without a moment of hesitation. Joining the duo is Song Seol, an empathetic paramedic who heals broken hearts while treating wounds.",305,1167,8.6,12,60,"10,203",11/12/2022,12/30/2022,"Friday, Saturday","Kim Rae Won, Gong Seung Yeon, Son Ho Jun"
83,"It's Okay, That's Love ","Psychological, Comedy, Romance, Drama","Strong Female Lead, Psychiatry, Trauma, Healing, Adult Romance, Melodrama, Cohabitation, Rich Male Lead, Hallucination, Cheerful Male Lead ","Despite being a bit of a prickly pear, Jang Jae Yeol has become famous for authoring mystery novels and for hosting a popular radio show. While sitting on a talk show panel with psychiatrist Ji Hae Soo, it became clear to all that the two just rubbed each other the wrong way.
The unthinkable happens when Jae Yeol’s girlfriend plagiarizes his work, forcing him to lie low until the media storm blows over. Only then he can prove his innocence. Jae Yeol moves into a house he owns but rents out. One of the current tenants, is none other than Hae Soo, unwittingly making them housemates.
Add to the mix Jo Dong Min, Hae Soo’s senior colleague and fellow psychiatrist, and Park Soo Kwang, a young man with Tourette’s Syndrome. As personalities clash, Jae Yeol and Hae Soo help the other heal from their deeply-rooted emotional scars.",308,53,8.6,16,60,"80,709",7/23/2014,9/11/2014,"Wednesday, Thursday","Zo In Sung, Gong Hyo Jin"
84,Eulachacha Waikiki ,"Comedy, Romance, Life, Drama","Bromance, Friends To Lovers, Motherhood, Cohabitation, Babysitting, Multiple Couples, Mother-Daughter Relationship, Nice Male Lead, Clumsy Female Lead, Secret Crush ","Three very different young men – Dong Goo, the bad luck incarnate who dreams of becoming a film director; Joon Ki, an eccentric actor who performs to make a living; and Doo Shik, a freelance writer who fiddles around doing nothing most of the time - open a guest house named “Waikiki” in Itaewon where many foreigners come to stay. Although they have no clue how to run it, they’re eager to earn money to pay for the production of their upcoming film.
Joined by Dong Goo’s younger sister Seo Jin, who actually manages the household in Waikiki; single mother Yoon Ah, who has made an unexpected landing in the guest house with her mysterious baby; and Dong Goo’s ex-girlfriend Soo Ah, they all start living together in an uncomfortable and suspicious atmosphere.",309,107,8.6,20,65,"59,433",2/5/2018,4/17/2018,"Monday, Tuesday","Kim Jung Hyun, Son Seung Won, Go Won Hee, Lee Yi Kyung, Jung In Sun, Lee Joo Woo"
85,Ghost Doctor ,"Comedy, Medical, Fantasy, Supernatural","Doctor Male Lead, Spirit, Bromance, Ghost, Spirit Possession, Doctor Female Lead, Arrogant Male Lead, Ghost-seeing Male Lead, Rich Male Lead, Slight Romance ","Cha Young Min is a genius doctor, with excelling skills at surgery, but he is arrogant and selfish. One day, he gets involved in an accident and due to this, his spirit possesses another doctor's body, Seung Tak. These two doctors are complete opposites, with opposite personalities and medical abilities.
Young Min is arrogant and cold-blooded, only cares about his career and doesn't care about any of his patient's personal stories. Seung Tak is the luckiest and richest resident doctor whose grandfather is the founder of Myung-shin hospital and whose mother is the chairman of the hospital. Never wanting to be a good doctor, he becomes possessed by a ghost doctor.",314,360,8.6,16,70,"27,961",1/3/2022,2/22/2022,"Monday, Tuesday","Rain, Uee, Kim Bum, Son Na Eun"
86,Children of Nobody ,"Thriller, Mystery, Psychological, Drama","Trauma, Child Abuse, Smart Female Lead, Murder, Tragic Past, Psychiatry, Child Abandonment, Domestic Violence, Strong Female Lead, Hallucination ","Cha Woo Kyung is a child counselor who works at a children’s center. Her life seems perfect since she is married to a great husband and is pregnant. However, her perfect life doesn't last long, when an accident changes her life. She then meets Kang Ji Hun, a detective who is strict toward criminals and believes they should be punished to the full extent.",316,788,8.6,32,30,"15,242",11/21/2018,1/16/2019,"Wednesday, Thursday","Kim Sun Ah, Nam Gyu Ri, Lee Yi Kyung, Cha Hak Yeon"
87,Reborn Rich ,"Business, Drama, Fantasy, Political","Time Travel, Transmigration, Power Struggle, Corruption, Family, Workplace Setting, Office Setting, Hatred, Flashback To Past, Family Conflict","Yoon Hyun Woo is a devoted, hard-working, and loyal secretary to the Soonyang chaebol family, which runs the lucrative Soonyang Group business empire, founded by Jin Yang Cheol. During a power struggle between Jin Yang Cheol's children for control of the empire, Hyun Woo is ruthlessly betrayed and killed under the orders of an unknown member of the chaebol family. Miraculously he wakes up as a kid inside the body of the youngest member of the family – Jin Do Jun.
After he realizes what has happened, Yoon Hyun Wo plots to use his new “identity” to formulate a hostile takeover of the group – and punish the people who killed him. But, will the cold-blooded and money-hungry CEO of Soonyang Group, one who firmly believes in right of primogeniture, be so easy to win over or conquer? Will Hyun Woo be able to wrest the reins from Jin Yang Cheol's children? And what role will be played in all this by a dogged public prosecutor named Seo Min Young, nicknamed “Soonyang Group Grim Reaper”?",319,306,8.6,16,75,"31,307",11/18/2022,12/25/2022,"Friday, Saturday, Sunday","Song Joong Ki, Shin Hyun Bin, Lee Sung Min"
88,Good Manager ,"Business, Comedy, Crime, Drama","Eccentric Male Lead, Corruption, Social Satire, Bromance, Smart Male Lead, Revenge, Enemy Mine, Smart Female Lead, Strong Female Lead, Character Development ","Can corporate politics turn a bad person into a good person? Kim Sung Ryong is a skilled accountant who works for gangsters. He makes his way into a company called TQ Group as a middle manager in the accounting department with the intention of embezzling money from the company. As he contends with hot-shot accountant Yoon Ha Kyung, financial prodigy Seo Yul and peppy intern Hong Ga Eun, Sung Ryong finds himself embroiled in office politics and notices other shenanigans by those in power that threaten to bring down the company. Sung Ryong slowly comes to realize that he’d rather fight against corporate corruption and fight for employees’ rights than complete the mission he originally came to do. Can he succeed at his new objective against all odds?",322,272,8.6,20,60,"33,728",1/25/2017,3/30/2017,"Wednesday, Thursday","Namkoong Min, Lee Jun Ho, Nam Sang Mi, Jung Hye Sung"
89,Once Again ,"Comedy, Romance, Life, Drama","Multiple Couples, Multiple Mains, Love/Hate Relationship, Muteness, Mother-Daughter Relationship, Heartwarming, Judo, Cold Female Lead, Brother-Sister Relationship, Family Conflict","""Once Again"" is the story of the eventful Song family who can’t get a day of peace and their neighbors in Yongju Market.
Frugal father Song Young Dal and nagging mother Jang Ok Boon have been married for many years and have 4 adult children: stuntman Joon Sun, housewife Ga Hee, pediatrician Na Hee, and intern Da Hee.
The third child Na Hee works with her fellow pediatrician husband Gyu Jin at the same hospital. They fell in love during their medical school days and got married, but they have since drifted apart and their married life is not doing well. Meanwhile, the first child Joon Sun and second child Ga Hee are both divorcees and have returned to live with their parents, while the youngest child Da Hee is engaged to be married soon.
Partway, mysterious kimbap restaurant owner Kang Cho Yeon joins the fray and opens up shop in the Yongju Market. How will her appearance impact the other characters?",329,994,8.6,100,35,"12,135",3/28/2020,9/13/2020,"Saturday, Sunday","Chun Ho Jin, Lee Jung Eun, Lee Min Jung, Oh Yoon Ah, Cha Hwa Yun, Oh Dae Hwan, Lee Sang Yeob, Lee Cho Hee"
90,The Bridal Mask ,"Action, Historical, Romance, Political","Japanese Colonial Rule, Hidden Identity, Rebellion, Revenge, Love Triangle, Murder, First Love, Adapted From A Manhwa, Investigation, Drama","Lee Kang To is an ambitious and callous Korean officer employed by the Japanese colonists. Despite his mother's disapproval of his work and his own brother's antagonistic history with the Japanese, Kang To continues to play by the colonist's rules in hopes of becoming successful and bringing his family out of poverty. However, a mysterious figure wearing a traditional Bridal Mask always seems to get in Kang To's way. The Bridal Mask appears as a Zorro-like figure who protects the people from the Japanese colonists' oppression and abuse of power. An unexpected turn of events brings Kang To to cross paths with the mysterious Bridal Mask, changing his future and the nation's history forever.",336,361,8.6,28,65,"27,881",5/30/2012,9/6/2012,"Wednesday, Thursday","Joo Won, Park Ki Woong, Jin Se Yeon, Han Chae Ah"
91,Empress Ki ,"Historical, Romance, Melodrama, Political","Smart Female Lead, Strong Female Lead, Power Struggle, Possessive Male Lead, Love Triangle, Yuan Dynasty, Revenge, Cross-Dressing, Goryeo Dynasty, Female Lead Action Scenes","Genghis Khan built an empire that spanned vast regions in East Asia and East Europe. And there was one woman who held immense power in the Yuan Dynasty, which Genghis Khan founded, for 37 years. She was neither of Mongol descent nor from the Han Chinese. She came from Goryeo, a small kingdom in the Far East. She was taken to Mongol against her will as a Gungnyeo (palace women) but somehow overcame her lowly status to become the last empress in another land. Her name was Empress Ki.",338,229,8.6,51,65,"38,050",10/28/2013,4/29/2014,"Monday, Tuesday","Ha Ji Won, Joo Jin Mo, Ji Chang Wook, Baek Jin Hee"
92,Money Heist: Korea - Joint Economic Area - Part 2 ,"Action, Thriller, Mystery, Crime","Heist, Hostage Situation, Suspense, Multiple Mains, Violence, Non-MDL Remake, Reunification Of Korea, Slight Romance, Investigation, Graphic Violence","Thieves overtake the mint of a unified Korea. With hostages trapped inside, the police must stop them — as well as the shadowy mastermind behind it all.",340,1260,8.6,6,60,"9,505",12/9/2022,,Friday,"Yoo Ji Tae, Jeon Jong Seo, Kim Ji Hoon, Lee Hyun Woo, Lee Gyu Ho, Kim Yoon Jin, Park Hae Soo, Lee Won Jong, Jang Yoon Ju, Kim Ji Hoon, Im Ji Yeon, Kim Sung Oh"
93,Go Back Couple ,"Comedy, Romance, Life, Fantasy","Time Travel, Love/Hate Relationship, Mother-Daughter Relationship, Misunderstanding, Failing Marriage, 1990s, Sismance, Bromance, Second Chance Romance, Sassy Female Lead","38-years-old married couple, Choi Ban Do and Ma Jin Joo, were in love when they got married but now, hate each other and regret marrying at such a young age. Choi Ban Do has been burdened with being the breadwinner, and Ma Jin Joo is a housewife with low self-esteem. The couple travels through time and finds themselves as 20-year-old university students when they met for the first time.",341,232,8.6,12,70,"37,662",10/13/2017,11/18/2017,"Friday, Saturday","Jang Na Ra, Son Ho Jun"
94,My Father Is Strange ,"Comedy, Romance, Drama","Family Secret, Eccentric Female Lead, Fake Incest, Multiple Couples, Strong Female Lead, Father-Daughter Relationship, Mother-Daughter Relationship, Mother-Son Relationship, Father-Son Relationship, Evil Mother-in-Law","This drama is about a family that lives on the outskirts of Seoul. Byun Han Soo is the father and His wife, Na Yeong Shil is a dedicated, responsible mother to his three daughters and one son including Hye Yeong, Mi Yeong, Ra Yeong, and Joon Young. Suddenly one day, Ahn Joong Hee shows up at the household and declares that he is the son of the family. Joong Hee is an actor who used to be a member of an idol group. He begins to live with them.",344,372,8.6,52,66,"27,397",3/4/2017,8/27/2017,"Saturday, Sunday","Kim Yeong Cheol, Ryu Soo Young, Lee Joon, Kim Hae Sook, Lee Yoo Ri, Jung So Min"
95,Juvenile Justice ,"Law, Drama","Hardworking Female Lead, Strong Female Lead, Tough Female Lead, Kind Male Lead, Hardworking Male Lead, Redemption, Runaway Teenager, Violence, Delinquent Supporting Character, Judge Female Lead","Sim Eun Seok is an elite judge with a prickly personality who hates juvenile offenders. After she gets assigned to a local juvenile court, she tries to balance her aversion to minor offenders with firm beliefs on justice and punishment, as she goes out of her way to break custom and administer her own ways of punishing the offenders.",345,476,8.6,10,62,"22,768",2/25/2022,,Friday,"Kim Hye Soo, Lee Sung Min, Kim Mu Yeol, Lee Jung Eun"
96,Big Mouth ,"Thriller, Mystery, Law, Drama","Suspense, Death, Investigation, Lawyer Male Lead, Murder, Brave Female Lead, Hardship, Greed, Wrongfully Accused, Conspiracy","Park Chang Ho is known since his school days as ""Big Mouth"" because he talks big and promises big things but can not follow it up. He is also an infamous lawyer with a very low rate of success who was hired by a Mayor because of his incompetence. Unfortunately, he was framed as the notorious and mysterious swindler ""Big Mouse"" and sent to prison.
Go Mi Ho is Park Chang Ho's loving wife who works as a nurse. She has strong personality and will do anything to prove the innocence of her husband and help solve the case the Mayor has given to her husband.
Will Go Mi Ho be successful in proving her husband's innocence? Or, will her investigations lead to opening a can of worms?",350,184,8.6,16,71,"43,057",7/29/2022,9/17/2022,"Friday, Saturday","Lee Jong Suk, Kim Joo Heon, Im Yoon Ah"
97,Stranger Season 2 ,"Thriller, Mystery, Law, Drama","Corruption, Calm Male Lead, Smart Male Lead, Suspense, Emotional Blunting, Power Struggle, Strong Female Lead, Alexithymia, Strong Male Lead, Sassy Female Lead ","The prosecutor's office and the police find themselves on opposing sides. The prosecutors, including elite prosecutor Woo Tae Ha, want discretionary power over investigations. Meanwhile, the police, including Choi Bit, try to get the complete investigative authority that is independent of the prosecutor's office.
In this tense situation, Prosecutor Hwang Shi Mok and Detective Han Yeo Jin chase after the truth in a hidden case.",361,669,8.6,16,62,"17,630",8/15/2020,10/4/2020,"Saturday, Sunday","Cho Seung Woo, Jeon Hye Jin, Lee Joon Hyuk, Bae Doo Na, Choi Moo Sung, Yoon Se Ah"
98,Designated Survivor: 60 Days ,"Thriller, Mystery, Drama, Political","Blue House, Power Struggle, Conspiracy, Lying, Terrorism, Social Commentary, Deception, National Intelligence Service, National Assembly, Death ","Park Moo Jin is a former professor of chemistry and now holds the Minister of Environment position. He doesn't have ambition, personal beliefs or political sense. One day, the cabinet is gathered in the National Assembly for the president's address. A terror attack takes place, killing many government officials, including the president and ministers. Park Moo Jin is the highest ranking government official left alive. He doesn't want the position, but he must sit as the acting president for 60 days. Park Moo Jin chases after the person or group responsible for the attack as he grows as a national leader.",366,914,8.6,16,74,"13,475",7/1/2019,8/20/2019,"Monday, Tuesday","Ji Jin Hee, Kang Han Na, Lee Joon Hyuk, Son Seok Koo, Heo Joon Ho"
99,Cruel City ,"Action, Thriller, Romance, Crime","Badass Male Lead, Gang, Bromance, Strong Female Lead, Strong Male Lead, Smart Male Lead, Sismance, Steamy Kiss, Orphan Male Lead, Detective Male Lead ","Portrays the cruel life of the drug cartels and the story of revenge for a loved one.
Jung Shi Hyun is a newly appointed under-boss of the drug cartel. He lives in the shadows. No one knows his true name. No one knows his identity except the ones he calls friends. When Jung Shi Hyun is accused of murder, he is determined to find out who really killed the girlfriend of Ji Hyung Min. But is it really only for himself? Or does he have another reason to find out who killed her?
Ji Hyung Min is a detective who is seeking revenge for the death of his girlfriend. He only has one suspect in mind, Doctor's Son. He's determined to catch him and kill him for what he has done. But no one knows what Doctor's Son looks like or any details about him, so how is he supposed to know who he is and how to find him? He proceeds on a long journey to fight for justice.",368,442,8.6,20,60,"23,663",5/27/2013,7/30/2013,"Monday, Tuesday","Jung Kyung Ho, Lee Jae Yoon, Kim Yoo Mi, Nam Gyu Ri, Son Chang Min"
